Mode,Q1,Q2,Q4,Q5a,Q5f,Q6c,Q7a,Q7c,Q8d,Q10a,Q10d,Q11,Q11a,Q12,Q14,Q15,Q16,Q18,sDevType,p_gender_sdc,p_age_group_sdc,p_education_sdc,total_time_taken,neutral_count,disagree_count,agree_count,very_count,just_count,vmj_count,opinionated,undecided_voter,Q8a
2.0,2.0,13.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,27.9,18.0,22.0,14.0,8.0,46.0,-38.0,0.0,0.0,8.0
2.0,5.0,11.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,4.0,1.0,8.816666666666663,1.0,30.0,6.0,16.0,20.0,-4.0,0.0,0.0,2.0
2.0,2.0,-98.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,6.2666666666666675,10.0,33.0,11.0,6.0,48.0,-42.0,0.0,0.0,7.0
2.0,2.0,20.0,100.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,-98.0,-98.0,0.0,2.0,4.0,2.0,20.833333333333336,6.0,20.0,4.0,13.0,17.0,-4.0,0.0,0.0,8.0
1.0,2.0,1.0,100.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,-99.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,-1.0,2.0,4.0,3.0,22.616666666666642,4.0,22.0,14.0,4.0,36.0,-32.0,0.0,0.0,6.0
2.0,1.0,34.0,100.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,15.783333333333335,0.0,27.0,27.0,18.0,36.0,-18.0,0.0,0.0,8.0
2.0,4.0,11.0,3.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,4.0,1.0,8.599999999999996,7.0,43.0,4.0,6.0,48.0,-42.0,0.0,0.0,7.0
2.0,2.0,11.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,4.0,1.0,9.033333333333324,4.0,27.0,6.0,10.0,26.0,-16.0,0.0,0.0,7.0
2.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,9.350000000000009,2.0,29.0,6.0,20.0,16.0,4.0,1.0,0.0,6.0
2.0,2.0,35.0,1.0,3.0,1.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,18.16666666666665,4.0,16.0,17.0,21.0,15.0,6.0,1.0,0.0,5.0
2.0,2.0,13.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,6.299999999999998,8.0,42.0,4.0,3.0,51.0,-48.0,0.0,0.0,3.0
2.0,4.0,16.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,36.78333333333333,20.0,28.0,6.0,9.0,45.0,-36.0,0.0,0.0,3.0
2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,9.316666666666661,11.0,33.0,10.0,0.0,54.0,-54.0,0.0,0.0,6.0
2.0,2.0,15.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,14.433333333333339,6.0,37.0,11.0,29.0,25.0,4.0,1.0,0.0,8.0
2.0,4.0,6.0,3.0,1.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,20.349999999999994,3.0,26.0,8.0,6.0,30.0,-24.0,0.0,0.0,7.0
2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,11.300000000000017,8.0,25.0,3.0,9.0,26.0,-17.0,0.0,0.0,7.0
2.0,2.0,5.0,4.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,9.533333333333342,3.0,25.0,9.0,8.0,28.0,-20.0,0.0,0.0,7.0
2.0,4.0,11.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,4.0,1.0,14.233333333333338,8.0,37.0,9.0,8.0,46.0,-38.0,0.0,0.0,8.0
2.0,4.0,16.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,3.0,12.350000000000005,16.0,26.0,12.0,4.0,50.0,-46.0,0.0,0.0,6.0
1.0,2.0,13.0,100.0,2.0,2.0,4.0,1.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,-1.0,1.0,4.0,3.0,17.566666666666666,17.0,27.0,10.0,8.0,46.0,-38.0,0.0,0.0,6.0
2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,10.399999999999997,2.0,24.0,11.0,8.0,28.0,-20.0,0.0,0.0,5.0
2.0,1.0,11.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,13.099999999999987,7.0,38.0,9.0,12.0,42.0,-30.0,0.0,0.0,5.0
2.0,2.0,1.0,100.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,8.033333333333339,5.0,20.0,12.0,6.0,30.0,-24.0,0.0,0.0,5.0
1.0,2.0,-98.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,-1.0,1.0,3.0,3.0,13.683333333333335,4.0,43.0,7.0,10.0,44.0,-34.0,0.0,0.0,5.0
2.0,2.0,1.0,100.0,2.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,23.46666666666664,10.0,40.0,4.0,14.0,40.0,-26.0,0.0,0.0,8.0
2.0,4.0,11.0,100.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,9.283333333333342,3.0,23.0,11.0,6.0,30.0,-24.0,0.0,0.0,7.0
2.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,8.566666666666674,5.0,29.0,3.0,10.0,26.0,-16.0,0.0,0.0,6.0
2.0,4.0,13.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,9.849999999999998,9.0,38.0,7.0,12.0,42.0,-30.0,0.0,0.0,6.0
2.0,5.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,29.53333333333334,4.0,32.0,18.0,18.0,36.0,-18.0,0.0,0.0,6.0
